Group,,instance,neuron,branch,branchLen,branchConductionVel,conductionVelFit,latFromInitSite,distFromInitSite,totNoSpikes,neuronFiringRate,isiViolationRate,fisherProjectionDistance,silhouetteScore,spikesNoPerConfig_mean,completeness,date,wellplateID,wellNo,runID,assayTag,div,wellGroupName,wellGroupColor,Plating Date,control
Group,Instance,Instance,,,Branch Length,Branch Conduction Velocity,Conduction Velocity Fit,Latency From Initiation Site,Distance From Initiation Site,Total Number of Spikes,Neuron Firing Rate,ISI Violation Rate,Fisher Projection Distance,Silhouette Score,Mean Number Spikes per Config,Footprint Completeness,Date,Wellplate ID,Well Number,Assay Run ID,Assay Tag,DIV,Well Group Name,Well Group Color,,Control
1,0,2,1,1,359.4,0.514,0.999,0.95,584.9,442,0.73,0,5.87,0.45,44,1,4/18/2024,T002604,2,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,1
1,1,2,1,2,84.5,0.318,0.987,0.05,24.7,442,0.73,0,5.87,0.45,44,1,4/18/2024,T002604,2,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,1
1,2,2,2,1,77.2,0.238,0.989,0.35,1447.9,400,0.67,0,17.92,0.75,40,1,4/18/2024,T002604,2,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,1
1,3,2,4,1,190.6,0.466,0.997,0.05,24.7,124,0.21,0,7.18,0.32,12,0.7,4/18/2024,T002604,2,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,1
1,4,2,4,2,119.5,0.321,0.982,0,136.7,124,0.21,0,7.18,0.32,12,0.7,4/18/2024,T002604,2,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,1
1,5,2,6,1,460.5,0.529,0.999,0.85,391.3,289,0.48,0,9.41,0.45,28,1,4/18/2024,T002604,2,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,1
1,6,2,6,2,176.2,0.52,0.998,0.4,175.9,289,0.48,0,9.41,0.45,28,1,4/18/2024,T002604,2,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,1
1,7,2,6,3,112.2,0.467,0.993,0.15,35,289,0.48,0,9.41,0.45,28,1,4/18/2024,T002604,2,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,1
1,8,2,8,1,94.7,0.484,0.99,0.05,35,579,0.96,0,5.41,0.31,57,1,4/18/2024,T002604,2,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,1
1,9,2,10,1,164.7,0.477,0.997,0.7,291.3,239,0.4,0,4.69,0.39,23,1,4/18/2024,T002604,2,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,1
1,10,2,10,2,183.4,0.437,0.992,0.45,182.7,239,0.4,0,4.69,0.39,23,1,4/18/2024,T002604,2,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,1
1,11,2,10,3,192.8,0.568,0.993,0.15,39.1,239,0.4,0,4.69,0.39,23,1,4/18/2024,T002604,2,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,1
1,12,2,11,1,112.2,0.367,0.983,0.4,94.2,288,0.48,0,4.59,0.51,28,1,4/18/2024,T002604,2,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,1
1,13,2,13,1,221.5,0.342,0.995,0,0,183,0.3,0,7.52,0.64,18,1,4/18/2024,T002604,2,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,1
1,14,2,13,2,119.5,0.466,0.993,0.05,35,183,0.3,0,7.52,0.64,18,1,4/18/2024,T002604,2,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,1
1,15,2,14,1,123.6,0.353,0.995,0.1,24.7,119,0.2,0,6.84,0.5,11,0.7,4/18/2024,T002604,2,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,1
1,16,2,17,1,187.4,0.302,0.985,0.1,55.3,356,0.59,0,3.55,0.48,35,1,4/18/2024,T002604,2,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,1
1,17,2,17,2,94.7,0.335,0.97,0.45,112.1,356,0.59,0,3.55,0.48,35,1,4/18/2024,T002604,2,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,1
1,18,2,17,3,230.8,0.357,0.998,0,0,356,0.59,0,3.55,0.48,35,1,4/18/2024,T002604,2,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,1
1,19,2,17,4,250.4,0.382,0.999,0,17.5,356,0.59,0,3.55,0.48,35,1,4/18/2024,T002604,2,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,1
1,20,2,17,5,77.2,0.258,0.989,0.1,49.5,356,0.59,0,3.55,0.48,35,1,4/18/2024,T002604,2,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,1
1,21,2,23,1,112.2,0.367,0.983,0.05,17.5,630,1.05,0,5.26,0.45,63,1,4/18/2024,T002604,2,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,1
1,22,2,25,1,94.7,0.298,0.992,0,17.5,309,0.51,0,N/A,N/A,30,1,4/18/2024,T002604,2,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,1
1,23,3,1,1,94.7,0.369,0.957,0.1,35,283,0.26,0,13.3,0.67,15,0.89,4/18/2024,T002604,3,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,0
1,24,3,2,1,102,0.527,0.994,0.1,24.7,508,0.47,0,12.32,0.66,28,1,4/18/2024,T002604,3,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,0
1,25,3,4,1,102,0.313,0.967,0.05,17.5,235,0.22,0,5.68,0.48,13,0.83,4/18/2024,T002604,3,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,0
1,26,3,7,1,182.1,0.473,0.997,0.05,35,681,0.63,0,N/A,N/A,37,1,4/18/2024,T002604,3,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,0
1,27,3,12,1,291.5,0.476,0.999,0.1,87.5,1037,0.96,0,7.27,0.46,57,1,4/18/2024,T002604,3,86,DOP29 W3 Organoids T002604,29,Default Group,#999999,20.3.2024,0
