,activeArea,firingRate_mean,firingRate_std,firingRate_CV,firingRate_median,firingRate_P10,firingRate_P90,amplitude_mean,amplitude_std,amplitude_CV,amplitude_median,amplitude_P10,amplitude_P90,ISI_mean,ISI_std,ISI_CV,ISI_median,ISI_P10,ISI_P90,date,wellplateID,wellNo,runID,assayTag,Well Group Name,Well Group Color,control
Instance,Active Area,Mean Firing Rate,Firing Rate std,Firing Rate CV,Median Firing Rate,Firing Rate 10th percentile,Firing Rate 90th percentile,Mean Spike Amplitude,Spike Amplitude std,Spike Amplitude CV,Median Spike Amplitude,Spike Amplitude 10th percentile,Spike Amplitude 90th percentile,Mean ISI,ISI std,ISI CV,Median ISI,ISI 10th percentile,ISI 90th percentile,Date,Wellplate ID,Well Number,Assay Run ID,Assay Tag,,,Control
1,0.72,0.26,0.18,0.67,0.18,0.12,0.53,57.58,54.91,0.95,41.68,30.02,88.81,53.95,26.19,0.49,47.92,30.51,89.61,2023-08-17,M05368,1,000290,DIV8 W3/5/7 All Wells M05368,Default Group,#999999,0
4,0.62,0.36,0.43,1.19,0.18,0.12,1.14,44.59,24.61,0.55,38.36,29.98,62.74,70.72,35.88,0.51,65.07,30.93,125.13,2023-08-17,M05368,4,000290,DIV8 W3/5/7 All Wells M05368,Default Group,#999999,0
5,1.18,0.45,0.46,1.01,0.28,0.12,0.93,43.95,15.64,0.36,40.99,30.87,60.58,75.46,30.17,0.4,72.7,36.12,116.86,2023-08-17,M05368,5,000290,DIV8 W3/5/7 All Wells M05368,Default Group,#999999,0
6,5.12,0.78,1.64,2.12,0.35,0.13,1.38,47.15,22.19,0.47,40.1,30.5,70.55,98.19,37.29,0.38,100.24,51.43,147.13,2023-08-17,M05368,6,000290,DIV8 W3/5/7 All Wells M05368,Default Group,#999999,0
7,1.75,0.27,0.22,0.84,0.18,0.12,0.57,68.91,80.87,1.17,46.16,31.58,120.45,54.68,29.25,0.53,46.1,26.72,91.34,2023-08-21,M05368,1,000296,DIV12 W3/5/7 All Wells,Default Group,#999999,0
10,1.38,0.33,0.34,1.04,0.18,0.12,0.73,56.07,56.39,1.01,40.51,31.18,93.47,59.58,31.34,0.53,51.36,29.25,100.1,2023-08-21,M05368,4,000296,DIV12 W3/5/7 All Wells,Default Group,#999999,0
11,2.34,0.5,0.55,1.1,0.27,0.13,1.11,49.09,29.93,0.61,40.84,29.77,75.06,71.64,37.34,0.52,60.67,33.01,128.35,2023-08-21,M05368,5,000296,DIV12 W3/5/7 All Wells,Default Group,#999999,0
12,9.7,0.94,1.43,1.52,0.51,0.13,2.06,49.48,27.35,0.55,41.73,31.61,74.07,91.74,36.87,0.4,91.17,42.03,139.11,2023-08-21,M05368,6,000296,DIV12 W3/5/7 All Wells,Default Group,#999999,0
13,1.99,0.26,0.19,0.72,0.2,0.12,0.48,63.12,65.55,1.04,42.04,28.22,118.67,54.2,29.02,0.54,45.62,28.58,89.95,2023-08-25,M05368,1,000307,DIV16 W3/5/7 All Wells,Default Group,#999999,0
16,2.1,0.33,0.34,1.03,0.2,0.12,0.69,57.58,54.62,0.95,41.86,30.82,90.9,61.94,34.29,0.55,50.92,28.48,107.32,2023-08-25,M05368,4,000307,DIV16 W3/5/7 All Wells,Default Group,#999999,0
17,2.82,0.5,0.5,0.99,0.3,0.13,1.13,54.86,43.38,0.79,41.28,29.92,90.9,75.42,41.26,0.55,65.97,31.28,136.18,2023-08-25,M05368,5,000307,DIV16 W3/5/7 All Wells,Default Group,#999999,0
