,activeArea,firingRate_mean,firingRate_std,firingRate_CV,firingRate_median,firingRate_P10,firingRate_P90,amplitude_mean,amplitude_std,amplitude_CV,amplitude_median,amplitude_P10,amplitude_P90,ISI_mean,ISI_std,ISI_CV,ISI_median,ISI_P10,ISI_P90,date,wellplateID,wellNo,runID,assayTag,Well Group Name,Well Group Color,control
Instance,Active Area,Mean Firing Rate,Firing Rate std,Firing Rate CV,Median Firing Rate,Firing Rate 10th percentile,Firing Rate 90th percentile,Mean Spike Amplitude,Spike Amplitude std,Spike Amplitude CV,Median Spike Amplitude,Spike Amplitude 10th percentile,Spike Amplitude 90th percentile,Mean ISI,ISI std,ISI CV,Median ISI,ISI 10th percentile,ISI 90th percentile,Date,Wellplate ID,Well Number,Assay Run ID,Assay Tag,,,Control
1,1.52,0.39,0.36,0.92,0.25,0.12,0.88,52.56,41.0,0.78,41.04,27.34,81.73,65.43,36.58,0.56,52.15,29.47,122.2,2023-08-17,M05371,1,000291,DIV8 W3/5/7 All Wells M05371,Default Group,#999999,0
3,0.6,0.26,0.25,0.93,0.18,0.12,0.43,30.87,6.63,0.21,30.21,22.69,42.0,120.78,49.87,0.41,128.14,43.2,180.66,2023-08-17,M05371,3,000291,DIV8 W3/5/7 All Wells M05371,Default Group,#999999,0
4,0.69,0.29,0.28,0.95,0.17,0.12,0.75,39.32,19.8,0.5,35.2,25.16,53.36,72.68,41.23,0.57,72.23,26.91,125.06,2023-08-17,M05371,4,000291,DIV8 W3/5/7 All Wells M05371,Default Group,#999999,0
5,3.2,0.28,0.23,0.83,0.18,0.12,0.53,56.37,48.81,0.87,43.35,29.25,87.63,52.26,30.37,0.58,42.46,25.9,96.55,2023-08-21,M05371,1,000297,DIV12 W3/5/7 All Wells,Default Group,#999999,0
7,1.09,0.26,0.21,0.84,0.18,0.12,0.46,36.46,17.55,0.48,32.63,24.06,46.65,71.67,46.83,0.65,57.68,24.21,142.6,2023-08-21,M05371,3,000297,DIV12 W3/5/7 All Wells,Default Group,#999999,0
8,1.21,0.27,0.19,0.71,0.2,0.12,0.57,39.95,14.37,0.36,36.2,27.91,55.93,65.17,41.39,0.64,53.52,20.33,128.68,2023-08-21,M05371,4,000297,DIV12 W3/5/7 All Wells,Default Group,#999999,0
9,5.06,0.25,0.19,0.77,0.18,0.12,0.45,57.55,42.95,0.75,44.93,29.88,95.09,48.21,29.28,0.61,37.46,25.29,84.95,2023-08-25,M05371,1,000309,DIV16 W3/5/7 All Wells,Default Group,#999999,0
11,2.93,0.3,0.35,1.16,0.2,0.12,0.6,42.73,22.42,0.52,36.6,27.45,64.13,53.49,33.85,0.63,43.4,23.48,96.38,2023-08-25,M05371,3,000309,DIV16 W3/5/7 All Wells,Default Group,#999999,0
12,3.18,0.28,0.19,0.69,0.2,0.12,0.55,45.57,22.74,0.5,39.92,28.83,68.18,61.08,39.37,0.64,49.1,24.32,120.24,2023-08-25,M05371,4,000309,DIV16 W3/5/7 All Wells,Default Group,#999999,0
13,11.3,0.27,0.18,0.65,0.22,0.12,0.5,59.31,46.63,0.79,45.78,31.79,95.24,52.79,27.06,0.51,45.1,28.01,89.14,2023-08-29,M05371,1,000319,DIV20 W3/5/7 All Wells,Default Group,#999999,0
15,3.25,0.38,0.36,0.93,0.23,0.12,0.94,41.57,20.44,0.49,35.14,27.49,62.01,63.07,45.59,0.72,49.2,18.52,143.42,2023-08-29,M05371,3,000319,DIV20 W3/5/7 All Wells,Default Group,#999999,0
16,7.85,0.37,0.35,0.94,0.25,0.12,0.73,48.19,24.39,0.51,41.1,30.96,72.1,58.13,33.74,0.58,46.84,26.39,107.66,2023-08-29,M05371,4,000319,DIV20 W3/5/7 All Wells,Default Group,#999999,0
17,14.23,0.27,0.18,0.66,0.22,0.12,0.5,52.6,32.31,0.61,43.56,31.54,81.18,51.47,26.62,0.52,45.13,26.22,86.44,2023-08-29,M05371,1,000320,DIV20 W3/5/7 Well1 M05371,Default Group,#999999,0
21,16.15,0.35,0.28,0.81,0.25,0.13,0.65,51.4,25.25,0.49,43.92,32.48,76.79,54.68,33.13,0.61,41.82,25.6,104.51,2023-08-29,M05371,4,000321,DIV20 W3/5/7 Well4 M05371,Default Group,#999999,0
24,4.1,0.4,0.31,0.77,0.25,0.12,0.98,40.07,17.17,0.43,34.89,27.65,59.04,70.91,44.96,0.63,62.8,19.3,137.82,2023-08-29,M05371,3,000322,DIV20 W3/5/7 Well3 M05371,Default Group,#999999,0
