,activeArea,firingRate_mean,firingRate_std,firingRate_CV,firingRate_median,firingRate_P10,firingRate_P90,amplitude_mean,amplitude_std,amplitude_CV,amplitude_median,amplitude_P10,amplitude_P90,ISI_mean,ISI_std,ISI_CV,ISI_median,ISI_P10,ISI_P90,date,wellplateID,wellNo,runID,assayTag,Well Group Name,Well Group Color,control
Instance,Active Area,Mean Firing Rate,Firing Rate std,Firing Rate CV,Median Firing Rate,Firing Rate 10th percentile,Firing Rate 90th percentile,Mean Spike Amplitude,Spike Amplitude std,Spike Amplitude CV,Median Spike Amplitude,Spike Amplitude 10th percentile,Spike Amplitude 90th percentile,Mean ISI,ISI std,ISI CV,Median ISI,ISI 10th percentile,ISI 90th percentile,Date,Wellplate ID,Well Number,Assay Run ID,Assay Tag,,,Control
1,1.56,0.31,0.24,0.77,0.23,0.12,0.6,43.34,19.21,0.44,39.65,28.43,58.97,67.94,36.73,0.54,59.01,30.8,126.73,2023-10-02,M05371,1,000408,DOP4 W5/6 Organoids M05371,Default Group,#999999,0
2,0.26,0.86,0.75,0.88,0.42,0.13,1.95,50.58,16.46,0.33,41.77,29.66,71.72,103.49,32.38,0.31,101.67,60.91,145.4,2023-10-02,M05371,2,000408,DOP4 W5/6 Organoids M05371,Default Group,#999999,0
3,0.41,0.19,0.07,0.4,0.17,0.12,0.28,33.8,7.73,0.23,33.59,23.37,43.41,95.23,51.65,0.54,100.98,41.6,176.73,2023-10-02,M05371,3,000408,DOP4 W5/6 Organoids M05371,Default Group,#999999,0
4,0.22,0.26,0.18,0.7,0.15,0.12,0.55,31.7,9.54,0.3,31.29,24.6,38.21,104.73,44.44,0.42,101.16,57.36,157.08,2023-10-02,M05371,4,000408,DOP4 W5/6 Organoids M05371,Default Group,#999999,0
5,0.5,0.78,0.92,1.17,0.22,0.12,2.51,44.45,13.09,0.29,42.72,29.86,58.52,74.87,36.59,0.49,81.29,25.6,119.8,2023-10-02,M05371,5,000408,DOP4 W5/6 Organoids M05371,Default Group,#999999,0
6,0.75,0.81,1.52,1.88,0.18,0.12,4.47,43.86,15.92,0.36,37.78,28.96,74.98,65.87,35.2,0.53,57.06,28.62,104.7,2023-10-02,M05371,6,000408,DOP4 W5/6 Organoids M05371,Default Group,#999999,0
7,2.14,0.34,0.28,0.82,0.24,0.12,0.63,49.17,29.31,0.6,41.3,30.02,71.17,63.43,31.86,0.5,55.22,30.93,103.92,2023-10-03,M05371,1,000411,DOP5 W5/6 Organoids M05371,Default Group,#999999,0
8,0.55,0.56,0.62,1.11,0.27,0.12,1.7,45.26,17.06,0.38,39.23,28.81,71.17,85.94,37.17,0.43,89.11,37.75,128.47,2023-10-03,M05371,2,000411,DOP5 W5/6 Organoids M05371,Default Group,#999999,0
9,0.45,0.2,0.09,0.44,0.18,0.12,0.32,34.42,7.65,0.22,33.93,23.46,42.16,91.44,49.2,0.54,80.34,42.21,179.98,2023-10-03,M05371,3,000411,DOP5 W5/6 Organoids M05371,Default Group,#999999,0
