,activeArea,firingRate_mean,firingRate_std,firingRate_CV,firingRate_median,firingRate_P10,firingRate_P90,amplitude_mean,amplitude_std,amplitude_CV,amplitude_median,amplitude_P10,amplitude_P90,ISI_mean,ISI_std,ISI_CV,ISI_median,ISI_P10,ISI_P90,date,wellplateID,wellNo,runID,assayTag,Well Group Name,Well Group Color,control,Cell Type,Media Type,Plating Date
Instance,Active Area,Mean Firing Rate,Firing Rate std,Firing Rate CV,Median Firing Rate,Firing Rate 10th percentile,Firing Rate 90th percentile,Mean Spike Amplitude,Spike Amplitude std,Spike Amplitude CV,Median Spike Amplitude,Spike Amplitude 10th percentile,Spike Amplitude 90th percentile,Mean ISI,ISI std,ISI CV,Median ISI,ISI 10th percentile,ISI 90th percentile,Date,Wellplate ID,Well Number,Assay Run ID,Assay Tag,,,Control,,,
1,0.62,0.51,0.43,0.83,0.3,0.12,1.2,38.75,16.32,0.42,32.89,23.97,72.5,97.08,33.24,0.34,98.6,54.33,128.35,2023-09-04,M05357,1,000364,DOP4 W8/10 AllWells M04487,Default Group,#999999,0,N/A,N/A,N/A
2,0.91,0.38,0.32,0.86,0.21,0.12,0.95,40.56,14.53,0.36,38.24,23.55,58.87,86.31,39.01,0.45,88.09,32.3,130.84,2023-09-04,M05357,2,000364,DOP4 W8/10 AllWells M04487,Default Group,#999999,0,N/A,N/A,N/A
3,0.67,0.45,0.48,1.07,0.22,0.12,1.44,33.18,9.2,0.28,31.64,23.09,45.18,95.48,38.4,0.4,97.98,45.62,141.51,2023-09-04,M05357,3,000364,DOP4 W8/10 AllWells M04487,Default Group,#999999,0,N/A,N/A,N/A
4,0.67,0.53,0.57,1.09,0.28,0.12,1.42,47.08,24.75,0.53,41.65,25.66,69.7,73.61,42.45,0.58,67.02,24.4,134.55,2023-09-04,M05357,4,000364,DOP4 W8/10 AllWells M04487,Default Group,#999999,0,N/A,N/A,N/A
5,1.15,1.24,2.95,2.38,0.3,0.13,1.1,50.48,22.16,0.44,44.01,31.87,73.74,66.89,36.79,0.55,56.48,29.92,126.98,2023-09-04,M05357,5,000364,DOP4 W8/10 AllWells M04487,Default Group,#999999,0,N/A,N/A,N/A
6,0.6,0.23,0.15,0.66,0.17,0.12,0.45,41.72,16.93,0.41,39.43,23.05,57.34,69.75,36.8,0.53,69.7,26.55,107.66,2023-09-04,M05357,6,000364,DOP4 W8/10 AllWells M04487,Default Group,#999999,0,N/A,N/A,N/A
7,0.81,0.46,0.36,0.79,0.35,0.12,1.06,40.4,18.28,0.45,34.23,23.64,75.44,85.99,42.16,0.49,88.0,25.05,142.8,2023-09-05,M05357,1,000367,DOP5 W8/10 AllWells M05357,Default Group,#999999,0,N/A,N/A,N/A
8,1.52,0.37,0.3,0.81,0.25,0.12,0.75,47.22,24.87,0.53,40.46,30.5,67.16,74.18,36.75,0.5,72.9,28.55,123.96,2023-09-05,M05357,2,000367,DOP5 W8/10 AllWells M05357,Default Group,#999999,0,N/A,N/A,N/A
9,0.89,0.51,0.55,1.07,0.27,0.12,1.34,38.63,25.1,0.65,34.01,23.29,47.85,94.32,41.62,0.44,92.4,39.14,146.88,2023-09-05,M05357,3,000367,DOP5 W8/10 AllWells M05357,Default Group,#999999,0,N/A,N/A,N/A
