,activeArea,firingRate_mean,firingRate_std,firingRate_CV,firingRate_median,firingRate_P10,firingRate_P90,amplitude_mean,amplitude_std,amplitude_CV,amplitude_median,amplitude_P10,amplitude_P90,ISI_mean,ISI_std,ISI_CV,ISI_median,ISI_P10,ISI_P90,date,wellplateID,wellNo,runID,assayTag,Well Group Name,Well Group Color,Cell Type,Media Type,Plating Date,control
Instance,Active Area,Mean Firing Rate,Firing Rate std,Firing Rate CV,Median Firing Rate,Firing Rate 10th percentile,Firing Rate 90th percentile,Mean Spike Amplitude,Spike Amplitude std,Spike Amplitude CV,Median Spike Amplitude,Spike Amplitude 10th percentile,Spike Amplitude 90th percentile,Mean ISI,ISI std,ISI CV,Median ISI,ISI 10th percentile,ISI 90th percentile,Date,Wellplate ID,Well Number,Assay Run ID,Assay Tag,,,,,,Control
1,3.67,0.37,0.38,1.02,0.23,0.12,0.75,44.74,16.78,0.38,39.66,31.31,64.75,76.75,35.44,0.46,72.81,35.98,122.81,2023-10-02,M04707,1,000407,DOP4 W8/10 Organoids M04707,Week 3,#00ff00,Organoids,Diff Media (Plus),12.07.2023,0
2,2.77,0.32,0.28,0.87,0.22,0.12,0.63,49.16,28.12,0.57,42.24,30.19,70.46,69.04,37.12,0.54,62.59,29.35,120.56,2023-10-02,M04707,2,000407,DOP4 W8/10 Organoids M04707,Week 3,#00ff00,Organoids,Diff Media (Plus),12.07.2023,0
3,3.75,0.32,0.26,0.8,0.23,0.12,0.65,46.11,20.57,0.45,41.08,30.69,64.0,67.47,32.98,0.49,62.45,31.75,111.1,2023-10-02,M04707,3,000407,DOP4 W8/10 Organoids M04707,Week 3,#00ff00,Organoids,Diff Media (Plus),12.07.2023,0
4,0.74,0.46,0.22,0.47,0.43,0.19,0.74,38.23,10.99,0.29,34.24,27.7,55.62,99.05,40.34,0.41,97.3,45.73,155.21,2023-10-02,M04707,4,000407,DOP4 W8/10 Organoids M04707,Week 4,#55aaff,Organoids,Diff Media (Plus),12.07.2023,0
5,0.53,0.6,0.56,0.93,0.23,0.12,1.55,43.84,13.48,0.31,40.68,25.41,67.69,103.5,36.72,0.35,104.34,57.22,142.45,2023-10-02,M04707,5,000407,DOP4 W8/10 Organoids M04707,Week 4,#55aaff,Organoids,Diff Media (Plus),12.07.2023,0
6,0.71,0.3,0.17,0.58,0.28,0.12,0.47,45.53,16.12,0.35,43.57,28.58,69.5,89.1,51.6,0.58,92.0,7.19,159.05,2023-10-02,M04707,6,000407,DOP4 W8/10 Organoids M04707,Week 4,#55aaff,Organoids,Diff Media (Plus),12.07.2023,0
7,5.44,0.38,0.38,0.99,0.25,0.12,0.82,49.83,25.06,0.5,41.47,32.35,73.49,73.86,36.3,0.49,70.16,33.29,119.4,2023-10-03,M04707,1,000409,DOP5 W8/10 Organoids M04707,Week 3,#00ff00,Organoids,Diff Media (Plus),12.07.2023,0
8,4.2,0.31,0.24,0.78,0.23,0.12,0.57,55.08,42.05,0.76,45.04,31.12,84.15,66.81,33.95,0.51,59.28,30.24,112.78,2023-10-03,M04707,2,000409,DOP5 W8/10 Organoids M04707,Week 3,#00ff00,Organoids,Diff Media (Plus),12.07.2023,0
9,5.86,0.34,0.29,0.84,0.23,0.12,0.7,52.22,25.92,0.5,44.83,31.69,78.25,66.51,32.66,0.49,60.95,31.94,109.48,2023-10-03,M04707,3,000409,DOP5 W8/10 Organoids M04707,Week 3,#00ff00,Organoids,Diff Media (Plus),12.07.2023,0
