Group,,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,assayTag,div,wellGroupName,wellGroupColor,Plating Date,control
Group,Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Assay Tag,DIV,Well Group Name,Well Group Color,,Control
1,0,1,1.77,9,0.22,0.59,0.28,N/A,89.88,0.28,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,1,1,4.13,16,0.39,0.59,0.48,1.48,86.22,0.61,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,2,1,5.61,7,0.17,0.51,0.28,11.35,55.05,0.41,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,3,1,16.96,7,0.17,0.84,0.18,3.08,128.44,0.83,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,4,1,20.04,15,0.37,0.56,0.5,5.86,31.7,0.22,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,5,1,25.9,14,0.34,0.46,0.44,2.24,41.22,0.28,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,6,1,28.14,26,0.63,0.59,0.78,1.98,64.88,0.92,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,7,1,30.12,24,0.59,0.96,0.56,1.94,94.52,0.6,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,8,1,32.06,14,0.34,0.61,0.51,13.99,154.99,0.46,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,9,1,46.05,13,0.32,0.53,0.4,3.48,50.26,1.07,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,10,1,49.53,6,0.15,0.44,0.19,1.26,88.43,0.73,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,11,1,50.79,6,0.15,0.52,0.19,3.05,40.1,0.2,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,12,1,53.84,15,0.37,0.54,0.5,4.33,45.92,0.36,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,13,1,58.17,5,0.12,0.59,0.19,2.84,53.53,0.11,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,14,1,61.01,7,0.17,0.39,0.23,1.35,54.02,0.88,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,15,1,62.36,5,0.12,0.47,0.26,1.62,249.5,0,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,16,1,63.98,20,0.49,0.66,0.6,1.68,97.13,0.92,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,17,1,65.66,9,0.22,0.5,0.27,2.03,55.16,0.6,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,18,1,67.69,5,0.12,0.59,0.2,5.21,45.75,0.21,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,19,1,72.9,7,0.17,0.65,0.24,13.25,89.2,0.99,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,20,1,86.15,17,0.41,0.62,0.58,28.84,88.12,1.44,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,21,1,114.99,15,0.37,0.57,0.46,9.36,94.34,0.61,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,22,1,124.35,7,0.17,0.64,0.21,9.3,112.7,0.88,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,23,1,133.65,10,0.24,0.61,0.34,14.37,44.71,0.37,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,24,1,148.02,10,0.24,0.54,0.33,7.02,33.08,0.25,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,25,1,155.04,7,0.17,0.7,0.2,5.99,50.2,0.25,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,26,1,161.03,5,0.12,0.71,0.16,6.73,84.8,0.83,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,27,1,167.76,11,0.27,1.08,0.24,3.02,183.71,0.42,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,28,1,170.78,2,0.05,0.13,0.46,1.06,82.2,0,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,29,1,171.84,38,0.93,1.8,0.58,1.29,92.42,0.67,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,30,1,173.13,14,0.34,0.36,0.49,5.1,36.96,0.27,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,31,1,178.23,10,0.24,0.54,0.33,19.55,45.05,0.42,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,32,1,197.78,21,0.51,0.56,0.67,1.95,67.67,1,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,33,1,199.73,7,0.17,0.58,0.26,3.23,70.57,0.77,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,34,1,202.96,10,0.24,0.56,0.32,2.41,69.19,0.81,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,35,1,205.37,55,1.34,1.9,0.72,12.31,124.69,1.03,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,36,1,217.68,5,0.12,0.61,0.19,2.08,N/A,N/A,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,37,1,219.76,7,0.17,0.54,0.22,12.06,93.72,0.86,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,38,1,231.82,6,0.15,0.65,0.19,8.5,132.5,0.66,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,39,1,240.32,26,0.63,1.27,0.46,25.78,104.97,1.27,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,40,1,266.1,16,0.39,0.55,0.51,8.87,43.27,0.45,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,41,1,274.97,10,0.24,0.71,0.33,8.33,98.33,1,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,42,1,283.3,14,0.34,0.56,0.45,6.69,25.49,0.09,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
