Group,,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Group,Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
2,0,1,3.39,86,0.56,0.59,0.78,N/A,42.07,0.69,7/31/2024,T002604,1,13,N/A,N/A,N/A,N/A,DOP7 W3 Organoids T002604,7
2,1,1,6.48,179,1.17,1.04,1.05,10.45,48.92,2,7/31/2024,T002604,1,13,Default Group,#999999,24.7.2024,0,DOP7 W3 Organoids T002604,7
2,2,1,16.93,146,0.95,0.74,1.16,2.92,88.11,1.19,7/31/2024,T002604,1,13,Default Group,#999999,24.7.2024,0,DOP7 W3 Organoids T002604,7
2,3,1,19.85,248,1.62,1.49,1.15,1.17,89.49,1.75,7/31/2024,T002604,1,13,Default Group,#999999,24.7.2024,0,DOP7 W3 Organoids T002604,7
2,4,1,21.02,31,0.2,0.27,0.92,6.25,43.18,0.41,7/31/2024,T002604,1,13,Default Group,#999999,24.7.2024,0,DOP7 W3 Organoids T002604,7
2,5,1,27.27,133,0.87,0.87,0.95,3.57,62.86,1.18,7/31/2024,T002604,1,13,Default Group,#999999,24.7.2024,0,DOP7 W3 Organoids T002604,7
2,6,1,30.84,64,0.42,0.58,0.65,3.93,53.2,0.99,7/31/2024,T002604,1,13,Default Group,#999999,24.7.2024,0,DOP7 W3 Organoids T002604,7
2,7,1,34.77,129,0.84,0.68,1.04,6.02,47.38,1.01,7/31/2024,T002604,1,13,Default Group,#999999,24.7.2024,0,DOP7 W3 Organoids T002604,7
2,8,1,40.79,94,0.61,0.83,0.71,1.46,56.89,0.94,7/31/2024,T002604,1,13,Default Group,#999999,24.7.2024,0,DOP7 W3 Organoids T002604,7
2,9,1,42.25,51,0.33,0.44,0.59,3.32,50.67,0.81,7/31/2024,T002604,1,13,Default Group,#999999,24.7.2024,0,DOP7 W3 Organoids T002604,7
2,10,1,45.57,67,0.44,0.54,0.62,2.93,58.15,0.76,7/31/2024,T002604,1,13,Default Group,#999999,24.7.2024,0,DOP7 W3 Organoids T002604,7
2,11,1,48.5,154,1.01,0.65,1.24,8.12,40.67,0.45,7/31/2024,T002604,1,13,Default Group,#999999,24.7.2024,0,DOP7 W3 Organoids T002604,7
2,12,1,56.62,99,0.65,0.66,0.95,1.37,46.58,0.63,7/31/2024,T002604,1,13,Default Group,#999999,24.7.2024,0,DOP7 W3 Organoids T002604,7
2,13,1,57.99,86,0.56,0.48,0.84,8.19,44.97,0.68,7/31/2024,T002604,1,13,Default Group,#999999,24.7.2024,0,DOP7 W3 Organoids T002604,7
2,14,1,66.18,92,0.6,0.48,0.82,1.38,59.35,1.1,7/31/2024,T002604,1,13,Default Group,#999999,24.7.2024,0,DOP7 W3 Organoids T002604,7
2,15,1,67.56,102,0.67,0.66,0.92,1.35,53.82,0.76,7/31/2024,T002604,1,13,Default Group,#999999,24.7.2024,0,DOP7 W3 Organoids T002604,7
2,16,1,68.91,51,0.33,0.38,0.57,2.69,28.65,0.23,7/31/2024,T002604,1,13,Default Group,#999999,24.7.2024,0,DOP7 W3 Organoids T002604,7
2,17,1,71.6,64,0.42,0.74,0.56,2.01,58.56,0.65,7/31/2024,T002604,1,13,Default Group,#999999,24.7.2024,0,DOP7 W3 Organoids T002604,7
2,18,1,73.61,99,0.65,0.67,0.81,4.72,64.41,0.75,7/31/2024,T002604,1,13,Default Group,#999999,24.7.2024,0,DOP7 W3 Organoids T002604,7
2,19,1,78.33,69,0.45,0.68,0.58,5.94,50.62,0.73,7/31/2024,T002604,1,13,Default Group,#999999,24.7.2024,0,DOP7 W3 Organoids T002604,7
2,20,1,84.27,124,0.81,0.67,0.95,1.56,45.74,0.78,7/31/2024,T002604,1,13,Default Group,#999999,24.7.2024,0,DOP7 W3 Organoids T002604,7
2,21,1,85.83,74,0.48,0.47,0.67,6.26,36.57,0.63,7/31/2024,T002604,1,13,Default Group,#999999,24.7.2024,0,DOP7 W3 Organoids T002604,7
2,22,1,92.09,94,0.61,0.6,0.87,1.74,56.16,1.1,7/31/2024,T002604,1,13,Default Group,#999999,24.7.2024,0,DOP7 W3 Organoids T002604,7
2,23,1,93.83,107,0.7,0.63,0.97,3.66,50.82,0.77,7/31/2024,T002604,1,13,Default Group,#999999,24.7.2024,0,DOP7 W3 Organoids T002604,7
2,24,1,97.49,174,1.14,1.34,0.87,5.21,96.43,1.81,7/31/2024,T002604,1,13,Default Group,#999999,24.7.2024,0,DOP7 W3 Organoids T002604,7
2,25,1,102.7,117,0.76,0.71,0.97,2.95,69.61,1.14,7/31/2024,T002604,1,13,N/A,N/A,N/A,N/A,DOP7 W3 Organoids T002604,7
